Season,Episodes,Date (First Aired),First Aired  Viewers  (millions),Date (Last aired) ,Last Aired Viewers (millions),Average viewers (millions),Name
1,7,"January 20th, 2008",1.41,"March 9th, 2008",1.5,1.23,Breaking Bad
2,13,"March 8th, 2009",1.66,"May 31st, 2009",1.5,1.3,Breaking Bad
3,13,"March 21st, 2010",1.95,"June 13th, 2010",1.56,1.52,Breaking Bad
4,13,"July 17th, 2011",2.58,"October 9th, 2011",1.9,1.87,Breaking Bad
5A,8,"July 15th, 2012",2.93,"September 2nd, 2012",2.78,4.32,Breaking Bad
5B,8,"August 11th, 2013",5.92,"September 29th, 2013",10.28,4.32,Breaking Bad
